# Blender std:: 头文件使用详情

总组件数: 402
使用头文件数: 60

## 头文件汇总 (按使用次数排序)

| 头文件 | 总使用次数 | 组件数 |
|--------|-----------|--------|
| <optional> | 5647 | 5 |
| <string> | 5353 | 13 |
| <algorithm> | 2835 | 43 |
| <memory> | 2698 | 14 |
| <utility> | 2207 | 10 |
| <iostream> | 774 | 2 |
| <ostream> | 654 | 2 |
| <array> | 653 | 1 |
| <type_traits> | 601 | 53 |
| <mutex> | 384 | 5 |
| <vector> | 346 | 7 |
| <variant> | 319 | 5 |
| <sstream> | 300 | 3 |
| <tuple> | 290 | 5 |
| <limits> | 246 | 1 |
| <cmath> | 246 | 31 |
| <atomic> | 232 | 8 |
| <functional> | 192 | 11 |
| <ios> | 120 | 20 |
| <cstdlib> | 104 | 5 |
| <string_view> | 103 | 2 |
| <cstddef> | 100 | 4 |
| <iterator> | 89 | 13 |
| <complex> | 88 | 5 |
| <chrono> | 48 | 14 |
| <filesystem> | 42 | 8 |
| <fstream> | 38 | 6 |
| <numeric> | 37 | 6 |
| <cstring> | 36 | 8 |
| <system_error> | 35 | 6 |
| <stdexcept> | 33 | 3 |
| <unordered_set> | 33 | 5 |
| <map> | 31 | 2 |
| <unordered_map> | 31 | 7 |
| <iomanip> | 30 | 3 |
| <regex> | 26 | 6 |
| <queue> | 23 | 2 |
| <unknown> | 23 | 7 |
| <deque> | 22 | 1 |
| <set> | 18 | 2 |
| <thread> | 18 | 5 |
| <list> | 16 | 1 |
| <initializer_list> | 16 | 1 |
| <cctype> | 16 | 6 |
| <exception> | 13 | 2 |
| <charconv> | 13 | 2 |
| <random> | 12 | 7 |
| <istream> | 11 | 1 |
| <span> | 8 | 1 |
| <ctime> | 8 | 4 |

## 头文件详细内容

### <optional> (5647 次)

| 组件 | 使用次数 |
|------|----------|
| std::optional | 3220 |
| std::nullopt | 2383 |
| std::make_optional | 27 |
| std::in_place_type | 15 |
| std::in_place_type_t | 2 |

### <string> (5353 次)

| 组件 | 使用次数 |
|------|----------|
| std::string | 5031 |
| std::to_string | 199 |
| std::string::npos | 81 |
| std::wstring | 16 |
| std::string::traits_type::length | 7 |
| std::stoi | 5 |
| std::getline | 4 |
| std::char_traits | 3 |
| std::string::size_type | 2 |
| std::stoll | 2 |
| std::strings | 1 |
| std::stol | 1 |
| std::stof | 1 |

### <algorithm> (2835 次)

| 组件 | 使用次数 |
|------|----------|
| std::max | 1003 |
| std::min | 736 |
| std::swap | 417 |
| std::clamp | 227 |
| std::sort | 108 |
| std::any_of | 68 |
| std::all_of | 34 |
| std::copy_n | 28 |
| std::stable_sort | 23 |
| std::fill_n | 23 |
| std::reverse | 17 |
| std::find_if | 17 |
| std::replace | 12 |
| std::max_element | 11 |
| std::equal | 11 |
| std::count | 11 |
| std::upper_bound | 9 |
| std::count_if | 9 |
| std::min_element | 7 |
| std::find | 7 |
| std::rotate | 5 |
| std::transform | 4 |
| std::set_union | 4 |
| std::set_difference | 4 |
| std::remove_if | 4 |
| std::none_of | 4 |
| std::lower_bound | 4 |
| std::erase_if | 4 |
| std::set_intersection | 3 |
| std::fill | 3 |
| std::partition | 2 |
| std::lexicographical_compare | 2 |
| std::find_if_not | 2 |
| std::copy_if | 2 |
| std::adjacent_find | 2 |
| std::stable_partition | 1 |
| std::shuffle | 1 |
| std::replace_if | 1 |
| std::partial_sort | 1 |
| std::nth_element | 1 |
| std::for_each | 1 |
| std::copy_backward | 1 |
| std::binary_search | 1 |

### <memory> (2698 次)

| 组件 | 使用次数 |
|------|----------|
| std::unique_ptr | 1353 |
| std::make_unique | 716 |
| std::shared_ptr | 334 |
| std::make_shared | 223 |
| std::destroy_at | 50 |
| std::weak_ptr | 6 |
| std::dynamic_pointer_cast | 5 |
| std::uninitialized_copy_n | 4 |
| std::static_pointer_cast | 2 |
| std::uninitialized_move_n | 1 |
