# Blender std:: 组件分类详细映射


## std::string (总计: 5121)

| 原始组件 | 使用次数 |
|----------|----------|
| std::string | 5031 |
| std::string::npos | 81 |
| std::string::traits_type::length | 7 |
| std::string::size_type | 2 |

## std::optional (总计: 3220)

| 原始组件 | 使用次数 |
|----------|----------|
| std::optional | 3220 |

## std::algorithms (总计: 2973)

| 原始组件 | 使用次数 |
|----------|----------|
| std::max | 1003 |
| std::min | 736 |
| std::swap | 417 |
| std::clamp | 227 |
| std::sort | 108 |
| std::any_of | 68 |
| std::destroy_at | 50 |
| std::all_of | 34 |
| std::copy | 29 |
| std::copy_n | 28 |
| std::stable_sort | 23 |
| std::fill_n | 23 |
| std::accumulate | 18 |
| std::reverse | 17 |
| std::find_if | 17 |
| std::is_sorted | 14 |
| std::replace | 12 |
| std::max_element | 11 |
| std::iota | 11 |
| std::equal | 11 |
| std::count | 11 |
| std::upper_bound | 9 |
| std::count_if | 9 |
| std::min_element | 7 |
| std::find | 7 |
| std::rotate | 5 |
| std::reduce | 5 |
| std::uninitialized_copy_n | 4 |
| std::transform | 4 |
| std::set_union | 4 |
| std::set_difference | 4 |
| std::remove_if | 4 |
| std::none_of | 4 |
| std::lower_bound | 4 |
| std::set_intersection | 3 |
| std::fill | 3 |
| std::partition | 2 |
| std::lexicographical_compare | 2 |
| std::find_if_not | 2 |
| std::copy_if | 2 |
| std::adjacent_find | 2 |
| std::uninitialized_move_n | 1 |
| std::uninitialized_fill_n | 1 |
| std::uninitialized_default_construct_n | 1 |
| std::stable_partition | 1 |
| std::shuffle | 1 |
| std::replace_if | 1 |
| std::remove | 1 |
| std::push_heap | 1 |
| std::pop_heap | 1 |
| std::partial_sort | 1 |
| std::nth_element | 1 |
| std::midpoint | 1 |
| std::make_heap | 1 |
| std::lcm | 1 |
| std::gcd | 1 |
| std::for_each | 1 |
| std::destroy_n | 1 |
| std::copy_backward | 1 |
| std::binary_search | 1 |

## std::nullopt (总计: 2383)

| 原始组件 | 使用次数 |
|----------|----------|
| std::nullopt | 2383 |

## std::move (总计: 1705)

| 原始组件 | 使用次数 |
|----------|----------|
| std::move | 1705 |

## std::memory (总计: 1427)

| 原始组件 | 使用次数 |
|----------|----------|
| std::make_unique | 716 |
| std::get | 237 |
| std::make_shared | 223 |
| std::get_if | 146 |
| std::holds_alternative | 50 |
| std::visit | 32 |
| std::monostate | 16 |
| std::dynamic_pointer_cast | 5 |
| std::static_pointer_cast | 2 |

## std::unique_ptr (总计: 1353)

| 原始组件 | 使用次数 |
|----------|----------|
| std::unique_ptr | 1353 |

## std::cout (总计: 690)

| 原始组件 | 使用次数 |
|----------|----------|
| std::cout | 690 |

## std::array (总计: 653)

| 原始组件 | 使用次数 |
|----------|----------|
| std::array | 653 |

## std::type_traits (总计: 612)

| 原始组件 | 使用次数 |
|----------|----------|
| std::is_same_v | 194 |
| std::decay_t | 55 |
| std::is_same | 33 |
| std::is_void_v | 31 |
| std::is_base_of_v | 22 |
| std::is_convertible_v | 21 |
| std::is_trivially_destructible_v | 20 |
| std::is_trivial_v | 20 |
| std::is_floating_point_v | 19 |
| std::is_nothrow_move_constructible_v | 16 |
| std::is_integral_v | 16 |
| std::is_trivially_copyable_v | 15 |
| std::is_invocable_r_v | 14 |
| std::index_sequence | 13 |
| std::conditional_t | 12 |
| std::make_index_sequence | 8 |
| std::true_type | 7 |
| std::remove_reference_t | 7 |
| std::remove_pointer_t | 7 |
| std::is_pointer_v | 7 |
| std::is_trivially_move_constructible_v | 6 |
| std::is_copy_constructible_v | 6 |
| std::false_type | 6 |
| std::is_arithmetic_v | 5 |
| std::enable_if_t | 5 |
| std::is_trivially_copy_constructible_v | 4 |
| std::is_enum_v | 4 |
| std::is_trivially_constructible_v | 3 |
| std::tuple_element_t | 2 |
| std::remove_cv_t | 2 |
| std::remove_const_t | 2 |
| std::is_unsigned_v | 2 |
| std::is_trivially_move_assignable_v | 2 |
| std::is_signed_v | 2 |
| std::is_scalar_v | 2 |
| std::is_rvalue_reference_v | 2 |
| std::is_move_constructible_v | 2 |
| std::is_move_assignable_v | 2 |
| std::is_lvalue_reference_v | 2 |
| std::is_destructible_v | 2 |
| std::is_copy_assignable_v | 2 |
| std::void_t | 1 |
| std::remove_reference | 1 |
| std::make_unsigned_t | 1 |
| std::is_standard_layout_v | 1 |
| std::is_invocable_v | 1 |
| std::is_default_constructible_v | 1 |
| std::is_constructible_v | 1 |
| std::is_const_v | 1 |
| std::integral_constant | 1 |
| std::enable_if | 1 |

## std::endl (总计: 356)

| 原始组件 | 使用次数 |
|----------|----------|
| std::endl | 356 |

## std::vector (总计: 346)

| 原始组件 | 使用次数 |
|----------|----------|
| std::vector | 336 |
| std::vector::push_back | 2 |
| std::vector::erase | 2 |
| std::vector::empty | 2 |
| std::vector::emplace_back | 2 |
| std::vector::pop_back | 1 |
| std::vector::insert | 1 |

## std::math (总计: 339)

| 原始组件 | 使用次数 |
|----------|----------|
| std::abs | 98 |
| std::sqrt | 52 |
| std::pow | 29 |
| std::round | 22 |
| std::sin | 20 |
| std::cos | 20 |
| std::trunc | 12 |
| std::isnan | 11 |
| std::ceil | 10 |
| std::floor | 9 |
| std::isfinite | 8 |
| std::tan | 7 |
| std::modf | 7 |
| std::log | 5 |
| std::exp | 4 |
| std::fmod | 3 |
| std::atan | 3 |
| std::lround | 2 |
| std::log2 | 2 |
| std::fabs | 2 |
